country,year,pop_value,life_expectancy_value,happiness_score_value,gni_value,internet_users_value
Germany,2005,81200000,79.6,66.2,32100,68.7
Spain,2005,43700000,80.6,71.5,27200,47.9
Costa Rica,2006,4380000,79.1,70.8,10500,25.1
Estonia,2006,1350000,73.3,53.7,18300,63.5
Georgia,2006,3930000,71.5,36.8,6100,7.53
Indonesia,2006,232000000,68.4,49.5,6300,4.76
New Zealand,2006,4179999,80.0,73.0,25900,69.0
Portugal,2006,10500000,79.2,54.0,24000,38.0
Thailand,2006,66300000,75.4,58.9,10500,17.2
Vietnam,2006,84000000,72.9,52.9,4170,17.3
Costa Rica,2007,4440000,80.3,74.3,11500,28.4
Germany,2007,81200000,80.0,64.2,36800,75.2
Spain,2007,45200000,81.2,70.0,31700,55.1
Estonia,2007,1340000,73.3,53.3,20500,66.2
Georgia,2007,3910000,72.0,37.1,6980,8.26
Indonesia,2007,235000000,68.7,51.0,6800,5.79
New Zealand,2007,4220000,80.2,76.0,27300,69.8
Thailand,2007,66800000,76.0,57.8,11300,20.0
Vietnam,2007,84800000,72.9,54.2,4480,20.8
Costa Rica,2008,4500000,80.3,68.5,12200,32.3
Germany,2008,81200000,80.2,65.2,38200,78.0
Spain,2008,46000000,81.4,72.9,32299,59.6
Estonia,2008,1340000,74.4,54.5,21600,70.6
Georgia,2008,3880000,71.5,41.6,7250,10.0
Indonesia,2008,238000000,68.9,48.1,7300,7.92
New Zealand,2008,4260000,80.4,73.8,27700,72.0
Portugal,2008,10600000,79.7,57.2,25800,44.1
Thailand,2008,67300000,76.5,56.4,11600,18.2
Vietnam,2008,85600000,73.0,54.8,4730,23.9
Costa Rica,2009,4560000,80.6,76.2,11900,34.3
Germany,2009,81300000,80.3,66.4,37600,79.0
Spain,2009,46400000,81.8,62.0,31500,62.4
Estonia,2009,1330000,75.2,51.4,19900,72.5
Georgia,2009,3860000,71.7,38.0,7090,20.1
Indonesia,2009,241000000,69.1,54.7,7590,6.92
Malta,2009,416000,80.8,63.3,25000,58.9
Thailand,2009,67800000,76.9,54.8,11500,20.1
Vietnam,2009,86500000,73.1,53.0,4890,26.6
Costa Rica,2010,4620000,79.5,72.7,12500,36.5
Germany,2010,81300000,80.5,67.3,39700,82.0
Spain,2010,46600000,82.1,61.9,31200,65.8
Georgia,2010,3840000,71.9,41.0,7580,26.9
Indonesia,2010,244000000,69.3,54.6,8130,10.9
Malta,2010,419000,81.1,57.7,27200,63.0
New Zealand,2010,4350000,80.9,72.2,29700,80.5
Portugal,2010,10600000,80.2,51.0,26400,53.3
Thailand,2010,68300000,77.0,62.2,12400,22.4
Vietnam,2010,87400000,73.2,53.0,5220,30.6
Costa Rica,2011,4680000,80.2,72.3,13200,39.2
Germany,2011,81400000,80.7,66.2,43600,81.3
Spain,2011,46700000,82.3,65.2,31300,67.1
Estonia,2011,1330000,76.3,54.9,23300,76.5
Georgia,2011,3820000,72.2,42.0,8330,31.5
Indonesia,2011,247000000,69.6,51.7,8690,12.3
Malta,2011,424000,81.2,61.5,28200,68.0
New Zealand,2011,4380000,80.9,71.9,31200,81.2
Portugal,2011,10600000,80.5,52.2,26300,55.3
Thailand,2011,68700000,77.4,66.6,12900,23.7
Vietnam,2011,88300000,73.3,57.7,5620,35.1
Costa Rica,2012,4740000,80.3,72.7,14000,47.5
Germany,2012,81500000,80.8,67.0,44400,82.3
Spain,2012,46800000,82.4,62.9,31500,69.8
Estonia,2012,1320000,76.5,53.6,24900,78.4
Georgia,2012,3800000,72.5,42.5,9960,36.9
Indonesia,2012,250000000,69.8,53.7,9260,14.5
Malta,2012,430000,81.4,59.6,29200,68.2
New Zealand,2012,4410000,81.2,72.5,31600,81.6
Portugal,2012,10500000,80.8,49.9,25800,60.3
Thailand,2012,69200000,77.7,63.0,13900,26.5
Vietnam,2012,89300000,73.5,55.4,6170,36.8
Costa Rica,2013,4790000,80.4,71.6,14700,46.0
Germany,2013,81700000,80.8,69.7,46000,84.2
Spain,2013,46600000,82.7,61.5,32200,71.6
Estonia,2013,1320000,77.2,53.7,26800,80.0
Georgia,2013,3790000,72.9,43.5,10600,43.3
Indonesia,2013,253000000,70.0,52.9,9570,14.9
Malta,2013,438000,81.6,63.8,30600,68.9
New Zealand,2013,4450000,81.5,72.8,34800,82.8
Portugal,2013,10500000,81.1,51.6,27600,62.1
Thailand,2013,69600000,78.0,62.3,14200,28.9
Vietnam,2013,90300000,73.6,50.2,6530,38.5
Costa Rica,2014,4840000,80.5,72.5,15700,53.0
Germany,2014,81900000,81.0,69.8,48000,86.2
Spain,2014,46500000,82.8,64.6,33400,76.2
Estonia,2014,1310000,77.3,55.6,28100,84.2
Georgia,2014,3770000,73.2,42.9,11600,49.1
Indonesia,2014,256000000,70.2,56.0,9730,17.1
Malta,2014,446000,81.8,64.5,32500,73.1
New Zealand,2014,4510000,81.5,73.1,35800,84.0
Portugal,2014,10400000,81.3,51.3,28100,64.6
Thailand,2014,70000000,78.1,69.8,14600,34.9
Vietnam,2014,91200000,73.7,50.9,7020,41.0
Costa Rica,2015,4900000,80.2,68.5,16800,59.8
Germany,2015,82100000,80.9,70.4,48700,87.6
Spain,2015,46400000,82.8,63.8,34900,78.7
Estonia,2015,1310000,77.8,56.3,28500,88.4
Georgia,2015,3770000,73.3,41.2,12000,47.6
Indonesia,2015,259000000,70.4,50.4,9690,22.1
Malta,2015,457000,82.2,66.1,35600,76.0
New Zealand,2015,4590000,81.7,74.2,36300,85.2
Portugal,2015,10400000,81.5,50.8,28900,68.6
Thailand,2015,70300000,78.2,62.0,15000,39.3
Vietnam,2015,92200000,73.9,50.8,7280,45.0
Costa Rica,2016,4950000,79.8,71.4,18400,65.9
Germany,2016,82300000,81.0,68.7,51800,84.2
Spain,2016,46500000,83.0,63.2,37400,80.6
Estonia,2016,1320000,77.7,56.5,30600,87.2
Georgia,2016,3770000,73.1,44.5,12500,58.5
Indonesia,2016,262000000,70.7,51.4,9930,25.4
Malta,2016,468000,82.3,65.9,36400,78.1
New Zealand,2016,4670000,81.9,72.3,38700,86.5
Portugal,2016,10300000,81.6,54.5,30800,70.4
Thailand,2016,70600000,78.0,60.7,15900,47.5
Vietnam,2016,93100000,74.0,50.6,7910,53.0
Costa Rica,2017,4990000,79.8,72.3,19400,71.6
Germany,2017,82600000,81.1,70.7,54300,84.4
Spain,2017,46600000,83.0,62.3,39600,84.6
Estonia,2017,1320000,77.8,59.4,33000,88.1
Georgia,2017,3770000,73.2,44.5,13100,59.7
Indonesia,2017,264000000,70.9,51.0,10300,32.3
Malta,2017,479000,82.4,66.8,42300,81.0
New Zealand,2017,4750000,82.0,73.3,40600,87.7
Portugal,2017,10300000,81.6,57.1,32299,73.8
Thailand,2017,70900000,78.2,59.4,16800,52.9
Vietnam,2017,94000000,74.2,51.8,8620,58.1
Costa Rica,2018,5040000,80.0,71.4,20300,73.5
Germany,2018,82900000,81.2,71.2,57100,87.0
Spain,2018,46800000,83.1,65.1,40800,86.1
Estonia,2018,1320000,77.9,60.9,35600,89.4
Georgia,2018,3770000,73.3,46.6,14500,62.7
Indonesia,2018,267000000,71.1,53.4,11000,39.9
Malta,2018,492000,82.5,69.1,43700,81.7
New Zealand,2018,4840000,81.8,73.7,41000,89.0
Portugal,2018,10300000,81.7,59.2,34100,74.7
Thailand,2018,71100000,78.3,60.1,18000,56.8
Vietnam,2018,94900000,74.3,53.0,9500,69.8
Costa Rica,2019,5080000,80.1,70.0,21900,81.2
Germany,2019,83100000,81.2,70.3,60400,88.1
Spain,2019,47100000,83.1,64.6,43800,90.7
Estonia,2019,1330000,78.0,60.4,39100,90.2
Georgia,2019,3770000,73.4,48.9,16000,68.8
Indonesia,2019,270000000,71.4,53.5,11600,47.7
Malta,2019,504000,82.6,67.3,46500,85.8
New Zealand,2019,4960000,81.8,72.0,44000,89.9
Portugal,2019,10300000,81.7,61.0,36900,75.3
Thailand,2019,71300000,78.4,60.2,19200,66.7
Vietnam,2019,95800000,74.5,54.7,10500,68.7
Costa Rica,2020,5120000,78.9,63.4,20800,80.5
Germany,2020,83300000,81.0,73.1,59600,89.8
Spain,2020,47400000,81.5,65.0,39100,93.2
Estonia,2020,1330000,77.7,64.5,39500,89.1
Georgia,2020,3770000,72.6,51.2,16000,72.5
Indonesia,2020,272000000,71.4,48.3,11400,53.7
Malta,2020,515000,82.3,61.6,44300,86.9
New Zealand,2020,5060000,81.8,72.6,44400,95.2
Portugal,2020,10300000,80.9,57.7,35300,78.3
Thailand,2020,71500000,78.5,58.9,18700,77.8
Vietnam,2020,96600000,74.5,54.6,11100,70.3
Costa Rica,2021,5150000,80.5,64.1,22300,82.7
Germany,2021,83400000,81.5,67.5,63800,91.4
Spain,2021,47500000,83.3,64.7,44100,93.9
Estonia,2021,1330000,78.3,65.5,43100,91.0
Georgia,2021,3760000,73.7,49.1,17700,76.4
Indonesia,2021,274000000,71.8,54.3,12400,62.1
Malta,2021,527000,82.9,64.4,49700,87.5
New Zealand,2021,5130000,82.1,71.4,46700,95.7
Portugal,2021,10300000,82.1,61.8,38200,82.3
Thailand,2021,71600000,78.8,56.4,19500,85.3
Vietnam,2021,97500000,74.7,55.4,11400,74.2
Costa Rica,2022,5180000,80.6,70.8,24100,82.6
Germany,2022,83400000,81.7,66.1,68800,91.6
Spain,2022,47600000,83.5,63.4,49700,94.5
Estonia,2022,1330000,78.5,63.6,46000,91.5
Georgia,2022,3740000,73.8,52.9,20900,78.7
Indonesia,2022,276000000,71.9,55.9,13900,66.5
Malta,2022,533000,83.0,63.0,51900,91.5
New Zealand,2022,5190000,82.2,69.8,51500,95.7
Portugal,2022,10300000,82.2,59.5,43600,84.5
Thailand,2022,71700000,79.0,60.1,21600,88.0
Vietnam,2022,98200000,74.8,62.7,13200,78.6
Costa Rica,2023,5210000,80.8,73.8,26200,85.1
Germany,2023,83300000,81.8,67.9,70700,92.5
Spain,2023,47500000,83.6,64.6,52700,95.4
Estonia,2023,1320000,78.6,64.3,45300,93.2
Georgia,2023,3730000,74.0,53.5,23100,81.9
Indonesia,2023,278000000,72.1,57.0,15000,69.2
Malta,2023,535000,83.2,63.0,54800,91.9
Portugal,2023,10200000,82.4,59.5,46000,85.8
Thailand,2023,71800000,79.1,62.8,22900,89.5
Vietnam,2023,98900000,74.9,63.3,14200,78.1
